route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,2,1,FREEPORT ROAD,,3,,,
11,2,11,FINEVIEW,,3,,,
12,2,12,MCKNIGHT,,3,,,
13,2,13,BELLEVUE,,3,,,
14,2,14,OHIO VALLEY,,3,,,
15,2,15,CHARLES,,3,,,
16,2,16,BRIGHTON,,3,,,
17,2,17,SHADELAND,,3,,,
18,2,18,MANCHESTER,,3,,,
19L,2,19L,EMSWORTH LIMITED,,3,,,
2,2,2,MOUNT ROYAL,,3,,,
20,2,20,KENNEDY,,3,,,
21,2,21,CORAOPOLIS,,3,,,
22,2,22,MCCOY,,3,,,
24,2,24,WEST PARK,,3,,,
26,2,26,CHARTIERS,,3,,,
27,2,27,FAIRYWOOD,,3,,,
28X,2,28X,AIRPORT FLYER,,3,,,
29,2,29,ROBINSON,,3,,,
31,2,31,BRIDGEVILLE,,3,,,
36,2,36,BANKSVILLE,,3,,,
38,2,38,GREEN TREE,,3,,,
39,2,39,BROOKLINE,,3,,,
4,2,4,TROY HILL,,3,,,
40,2,40,MOUNT WASHINGTON,,3,,,
41,2,41,BOWER HILL,,3,,,
43,2,43,BAILEY,,3,,,
44,2,44,KNOXVILLE,,3,,,
48,2,48,ARLINGTON,,3,,,
51,2,51,CARRICK,,3,,,
51L,2,51L,CARRICK LIMITED,,3,,,
52L,2,52L,HOMEVILLE LIMITED,,3,,,
53,2,53,HOMESTEAD PARK,,3,,,
53L,2,53L,HOMESTEAD PARK LIMITED,,3,,,
54,2,54,NORTH SIDE-OAKLAND-SOUTH SIDE,,3,,,
55,2,55,GLASSPORT,,3,,,
56,2,56,LINCOLN PLACE,,3,,,
57,2,57,HAZELWOOD,,3,,,
58,2,58,GREENFIELD,,3,,,
59,2,59,MON VALLEY,,3,,,
6,2,6,SPRING HILL,,3,,,
60,2,60,MCKEESPORT - WALNUT,,3,,,
61A,2,61A,NORTH BRADDOCK,,3,,,
61B,2,61B,BRADDOCK-SWISSVALE,,3,,,
61C,2,61C,MCKEESPORT-HOMESTEAD,,3,,,
61D,2,61D,MURRAY,,3,,,
64,2,64,LAWRENCEVILLE - WATERFRONT,,3,,,
65,2,65,SQUIRREL HILL,,3,,,
67,2,67,MONROEVILLE,,3,,,
69,2,69,TRAFFORD,,3,,,
7,2,7,SPRING GARDEN,,3,,,
71,2,71,EDGEWOOD TOWN CENTER,,3,,,
71A,2,71A,NEGLEY,,3,,,
71B,2,71B,HIGHLAND PARK,,3,,,
71C,2,71C,POINT BREEZE,,3,,,
71D,2,71D,HAMILTON,,3,,,
74,2,74,HOMEWOOD-SQUIRREL HILL,,3,,,
75,2,75,ELLSWORTH,,3,,,
77,2,77,PENN HILLS,,3,,,
79,2,79,EAST HILLS,,3,,,
8,2,8,PERRYSVILLE,,3,,,
81,2,81,OAK HILL,,3,,,
82,2,82,LINCOLN,,3,,,
83,2,83,BEDFORD HILL,,3,,,
86,2,86,LIBERTY,,3,,,
87,2,87,FRIENDSHIP,,3,,,
88,2,88,PENN,,3,,,
89,2,89,GARFIELD COMMONS,,3,,,
91,2,91,BUTLER STREET,,3,,,
93,2,93,LAWRENCEVILLE - HAZELWOOD,,3,,,
G2,2,G2,WEST BUSWAY,,3,,26F326,
G3,2,G3,MOON FLYER,,3,,,
G31,2,G31,BRIDGEVILLE FLYER,,3,,,
O1,2,O1,ROSS FLYER,,3,,,
O12,2,O12,MCKNIGHT FLYER,,3,,,
O5,2,O5,THOMPSON RUN FLYER VIA 279,,3,,,
P1,2,P1,EAST BUSWAY-ALL STOPS,,3,,A000F6,
P10,2,P10,ALLEGHENY VALLEY FLYER,,3,,,
P12,2,P12,HOLIDAY PARK FLYER,,3,,,
P13,2,P13,MOUNT ROYAL FLYER,,3,,,
P16,2,P16,PENN HILLS FLYER,,3,,,
P17,2,P17,LINCOLN PARK FLYER,,3,,,
P2,2,P2,EAST BUSWAY SHORT,,3,,A000F6,
P3,2,P3,EAST BUSWAY-OAKLAND,,3,,,
P67,2,P67,MONROEVILLE FLYER,,3,,,
P68,2,P68,BRADDOCK HILLS FLYER,,3,,,
P69,2,P69,TRAFFORD FLYER,,3,,,
P7,2,P7,MCKEESPORT FLYER,,3,,,
P71,2,P71,SWISSVALE FLYER,,3,,,
P76,2,P76,LINCOLN HIGHWAY FLYER,,3,,,
P78,2,P78,OAKMONT FLYER,,3,,,
Y1,2,Y1,LARGE FLYER,,3,,,
Y45,2,Y45,BALDWIN MANOR FLYER,,3,,,
Y46,2,Y46,ELIZABETH FLYER,,3,,,
Y47,2,Y47,CURRY FLYER,,3,,,
Y49,2,Y49,PROSPECT FLYER,,3,,,
BLUE,2,BLUE,SOUTH HILLS VILLAGE,,1,,00E9FF,
RED,2,RED,CASTLE SHANNON AND ALLEGHENY,,1,,FB1303,
SLVR,2,SLVR,SILVER LINE LIBRARY,,1,,DBDBDB,
DQI,2,DQI,DUQUESNE INCLINE,,7,,,
MI,2,MI,MONONGAHELA INCLINE,,7,,,
