trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10517020,61C,3,"Downtown",,1,176586102,shp-61C-06,1,1
8275010,71D,4,"Hamilton",,0,176856101,shp-71D-52,1,0
4380020,P1,3,"East Busway",,0,176377502,shp-P1-53,1,1
6302020,51,3,"Downtown",,1,176573502,shp-51-18,1,0
13430020,14,3,"Ambridge",,0,176726002,shp-14-54,1,1
6474070,60,1,"Crawford Village",,1,176473507,shp-60-06,1,0
10606020,P76,3,"Olympia PNR ",,1,176574102,shp-P76-05,1,0
599010,16,4,"Downtown",,1,176783301,shp-16-08,1,1
8474080,28X,2,"Pittsburgh Intl Airport",,0,176931508,shp-28X-60,1,1
13760020,48,3,"Downtown",,1,178518302,shp-48-06,1,0
7176080,51,2,"Carrick - West Mifflin",,0,176888608,shp-51-64,1,0
1840020,51,3,"Downtown",,1,176568302,shp-51-18,1,0
10448020,71A,3,"Negley",,0,176355402,shp-71A-52,1,0
7798010,38,4,"Mt Lebanon-West End",,0,176616301,shp-38-60,1,0
10309020,61D,3,"Greenfield",,0,176551802,shp-61D-53,1,0
14037020,91,3,"Butler St - VA Hospital",,0,176748002,shp-91-60,1,1
14367020,71A,3,"Negley",,0,176357502,shp-71A-52,1,0
11742010,71C,4,"Downtown",,1,176821701,shp-71C-04,1,1
481080,71A,2,"Downtown",,1,176932208,shp-71A-04,1,1
7063010,82,4,"Downtown",,1,176812101,shp-82-05,1,0
6934020,87,3,"Friendship-Morningside",,0,176398102,shp-87-63,1,0
2844020,21,3,"Coraopolis-Sewickley",,0,176344102,shp-21-56,1,0
936020,64,3,"Lawrenceville",,1,176554902,shp-64-03,1,1
5488020,48,3,"Downtown",,1,178517302,shp-48-06,1,0
4271020,61A,3,"Downtown",,1,176548202,shp-61A-21,1,1
6075070,P68,1,"Braddock Hills - Forbes Hospital",,0,176827407,shp-P68-59,1,1
803080,40,2,"Mt Washington",,0,177417308,shp-40-53,1,1
1089010,79,4,"Lincoln Loop",,1,176809001,shp-79-11,1,0
4885080,61A,2,"Downtown",,1,176880908,shp-61A-19,1,1
3093070,88,1,"Downtown",,1,176843007,shp-88-07,1,0
13767020,Y47,3,"Downtown",,1,176594102,shp-Y47-03,1,0
1572080,60,2,"Crawford Village",,1,176891908,shp-60-06,1,0
14103080,48,2,"Downtown",,1,177415108,shp-48-06,1,0
5961070,61B,1,"Braddock",,0,176455307,shp-61B-53,1,1
4655010,71A,4,"Downtown",,1,176811501,shp-71A-04,1,1
569020,P1,3,"Downtown",,1,176376802,shp-P1-05,1,1
5537020,60,3,"Downtown",,0,176569302,shp-60-57,1,1
6311020,P1,3,"East Busway",,0,176377602,shp-P1-53,1,1
12370010,61B,4,"Braddock Hills Shopping Center",,0,176479001,shp-61B-60,1,0
9887080,61D,2,"Downtown",,1,176899808,shp-61D-05,1,1
411020,26,3,"Downtown",,1,176332402,shp-26-02,1,0
3424080,17,2,"Downtown",,1,177444208,shp-17-09,1,1
8006070,13,1,"Downtown",,1,176764407,shp-13-10,1,1
3127070,8,1,"Perrysville",,0,176760307,shp-8-60,1,1
13211070,G2,1,"West Busway",,0,176613407,shp-G2-52,1,0
5464020,27,3,"Downtown",,1,176337702,shp-27-06,1,0
10122020,53L,3,"Waterfront - Century Sq.",,0,176575902,shp-53L-54,1,0
1866080,17,2,"Shadeland",,0,177443008,shp-17-55,1,1
13124070,48,1,"Downtown",,1,176613007,shp-48-06,1,0
9140020,1,3,"Downtown",,1,176725702,shp-1-05,1,1
1158020,75,3,"Ellsworth",,0,176369202,shp-75-57,1,0
4951020,21,3,"Coraopolis-Sewickley",,0,176344102,shp-21-56,1,0
12603020,55,3,"Walmart (West Mifflin)",,0,176571202,shp-55-52,1,0
13392070,86,1,"Downtown",,1,176837807,shp-86-05,1,1
1943080,88,2,"Downtown",,1,176927608,shp-88-08,1,0
1853010,28X,4,"Pittsburgh Intl Airport",,0,176852301,shp-28X-61,1,1
10954070,71D,1,"Downtown",,1,176838707,shp-71D-04,1,1
7153070,61D,1,"Downtown",,1,176450407,shp-61D-05,1,1
9875020,71D,3,"Hamilton",,0,176392602,shp-71D-52,1,0
3967020,P69,3,"Trafford",,1,176372402,shp-P69-08,1,1
2846080,64,2,"Lawrenceville",,1,176925608,shp-64-03,1,1
12626020,P1,3,"Downtown",,1,176377302,shp-P1-05,1,1
22010,16,4,"Downtown",,1,176770901,shp-16-08,1,1
5244020,71B,3,"Highland Park",,0,176387602,shp-71B-51,1,0
2901070,61B,1,"Braddock Hills Shopping Center",,0,176460307,shp-61B-60,1,0
7989020,86,3,"Downtown",,1,176378002,shp-86-05,1,1
6601070,16,1,"Downtown",,1,176767207,shp-16-08,1,1
7762020,71D,3,"Downtown",,1,176382102,shp-71D-04,1,1
3808020,1,3,"Downtown",,1,176732702,shp-1-05,1,1
