,route_id,direction_id,stop_id,headway_min
0,61C,1,18165,15.0
1,61C,1,7097,15.0
2,61C,1,7096,15.0
3,61C,1,20849,15.0
4,61C,1,7103,15.0
5,61C,1,4407,15.0
6,61C,1,20299,15.0
7,61C,1,10915,15.0
8,61C,1,10886,15.0
9,61C,1,3156,15.0
10,61C,1,18161,15.0
11,61C,1,3149,15.0
12,61C,1,10918,15.0
13,61C,1,9892,15.0
14,61C,1,3152,15.0
15,61C,1,10892,15.0
16,61C,1,35,15.0
17,61C,1,10908,15.0
18,61C,1,10913,15.0
19,61C,1,20967,15.0
20,61C,1,3158,15.0
21,61C,1,7101,15.0
22,61C,1,10906,15.0
23,61C,1,22902,15.0
24,61C,1,10916,15.0
25,61C,1,10919,15.0
26,61C,1,3147,15.0
27,61C,1,9897,15.0
28,61C,1,20856,15.0
29,61C,1,18397,15.0
30,61C,1,22899,15.0
31,61C,1,10921,15.0
32,61C,1,10884,15.0
33,61C,1,3150,15.0
34,61C,1,10881,15.0
35,61C,1,10888,15.0
36,61C,1,10914,15.0
37,61C,1,9896,15.0
38,61C,1,10923,15.0
39,61C,1,20913,15.0
40,61C,1,10922,15.0
41,61C,1,21153,15.0
42,61C,1,9898,15.0
43,61C,1,10894,15.0
44,61C,1,33,15.0
45,61C,1,10910,15.0
46,61C,1,10885,15.0
47,61C,1,10924,15.0
48,61C,1,20904,15.0
49,61C,1,18176,15.0
50,61C,1,7098,15.0
51,61C,1,10903,15.0
52,61C,1,20776,15.0
53,61C,1,18179,15.0
54,61C,1,10890,15.0
55,61C,1,3157,15.0
56,61C,1,4409,15.0
57,61C,1,10889,15.0
58,61C,1,3151,15.0
59,61C,1,34,15.0
60,61C,1,3154,15.0
61,61C,1,2639,15.0
62,61C,1,10920,15.0
63,61C,1,9894,15.0
64,61C,1,36,15.0
65,61C,1,2638,15.0
66,61C,1,7102,15.0
67,61C,1,22747,15.0
68,61C,1,2644,15.0
69,61C,1,10899,15.0
70,61C,1,38,15.0
71,61C,1,19375,15.0
72,61C,1,18164,15.0
73,61C,1,1509,15.0
74,61C,1,3148,15.0
75,61C,1,1410,15.0
76,61C,1,10907,15.0
77,61C,1,10902,15.0
78,61C,1,7100,15.0
79,61C,1,19388,15.0
80,61C,1,3155,15.0
81,61C,1,20855,15.0
82,61C,1,10909,15.0
83,61C,1,20969,15.0
84,61C,1,18174,15.0
85,61C,1,10905,15.0
86,61C,1,2643,15.0
87,61C,0,10958,15.0
88,61C,0,20977,15.0
89,61C,0,10977,15.0
90,61C,0,3241,15.0
91,61C,0,19994,15.0
92,61C,0,10950,15.0
93,61C,0,10964,15.0
94,61C,0,20911,15.0
95,61C,0,7117,15.0
96,61C,0,20191,15.0
97,61C,0,7124,15.0
98,61C,0,28,15.0
99,61C,0,18173,15.0
100,61C,0,29,15.0
101,61C,0,22902,15.0
102,61C,0,10978,15.0
103,61C,0,10957,15.0
104,61C,0,10954,15.0
105,61C,0,10984,15.0
106,61C,0,19999,15.0
107,61C,0,9916,15.0
108,61C,0,10994,15.0
109,61C,0,22657,15.0
110,61C,0,7115,15.0
111,61C,0,20856,15.0
112,61C,0,7113,15.0
113,61C,0,10968,15.0
114,61C,0,10959,15.0
115,61C,0,7121,15.0
116,61C,0,10976,15.0
117,61C,0,10951,15.0
118,61C,0,8526,15.0
119,61C,0,18156,15.0
120,61C,0,10947,15.0
121,61C,0,10948,15.0
122,61C,0,16607,15.0
123,61C,0,7125,15.0
124,61C,0,20293,15.0
125,61C,0,20850,15.0
126,61C,0,10956,15.0
127,61C,0,20976,15.0
128,61C,0,1664,15.0
129,61C,0,10962,15.0
130,61C,0,27,15.0
131,61C,0,7119,15.0
132,61C,0,3246,15.0
133,61C,0,10975,15.0
134,61C,0,10992,15.0
135,61C,0,10979,15.0
136,61C,0,10952,15.0
137,61C,0,7126,15.0
138,61C,0,10969,15.0
139,61C,0,16606,15.0
140,61C,0,17224,15.0
141,61C,0,17791,15.0
142,61C,0,21181,15.0
143,61C,0,2568,15.0
144,61C,0,31,15.0
145,61C,0,26,15.0
146,61C,0,10953,15.0
147,61C,0,9917,15.0
148,61C,0,16605,15.0
149,61C,0,10963,15.0
150,61C,0,15659,15.0
151,61C,0,20103,15.0
152,61C,0,10982,15.0
153,61C,0,3242,15.0
154,61C,0,21180,15.0
155,61C,0,10983,15.0
156,61C,0,7112,15.0
157,61C,0,3245,15.0
158,61C,0,20959,15.0
159,61C,0,10989,15.0
160,61C,0,7114,15.0
161,61C,0,3247,15.0
162,61C,0,10961,15.0
163,61C,0,10988,15.0
164,61C,0,10991,15.0
165,61C,0,10981,15.0
166,61C,0,10995,15.0
167,61C,0,3248,15.0
168,61C,0,9915,15.0
169,P1,1,8154,10.0
170,P1,1,16063,10.0
171,P1,1,8162,10.0
172,P1,1,15879,10.0
173,P1,1,15880,10.0
174,P1,1,8163,10.0
175,P1,1,8161,10.0
176,P1,1,1407,10.0
177,P1,1,7279,10.0
178,P1,1,15878,10.0
179,P1,0,16106,10.0
180,P1,0,8165,10.0
181,P1,0,16105,10.0
182,P1,0,16063,10.0
183,P1,0,16104,10.0
184,P1,0,7280,10.0
185,P1,0,8160,10.0
186,P1,0,3427,10.0
187,P1,0,5560,10.0
188,P1,0,7279,10.0
189,P1,0,5125,10.0
190,P1,0,1510,10.0
191,P1,0,20501,10.0
192,51,1,17286,9.0
193,51,1,9978,9.0
194,51,1,4833,9.0
195,51,1,21173,9.0
196,51,1,9987,9.0
197,51,1,4823,9.0
198,51,1,9991,9.0
199,51,1,20906,26.0
200,51,1,21172,9.0
201,51,1,18421,26.0
202,51,1,19882,11.0
203,51,1,20671,26.0
204,51,1,2545,9.0
205,51,1,9984,9.0
206,51,1,4824,9.0
207,51,1,9364,26.0
208,51,1,2551,9.0
209,51,1,20719,9.0
210,51,1,9375,26.0
211,51,1,9994,9.0
212,51,1,9421,26.0
213,51,1,9377,26.0
214,51,1,9985,9.0
215,51,1,10115,26.0
216,51,1,2547,9.0
217,51,1,21463,26.0
218,51,1,9379,9.0
219,51,1,19898,26.0
220,51,1,9993,9.0
221,51,1,9990,9.0
222,51,1,2541,9.0
223,51,1,9373,26.0
224,51,1,9416,26.0
225,51,1,17634,9.0
226,51,1,9980,9.0
227,51,1,9419,26.0
228,51,1,9424,26.0
229,51,1,9380,9.0
230,51,1,9988,9.0
231,51,1,9974,26.0
232,51,1,18475,26.0
233,51,1,4826,9.0
234,51,1,9982,9.0
235,51,1,19876,26.0
236,51,1,4821,9.0
237,51,1,9417,26.0
238,51,1,2542,9.0
239,51,1,11216,9.0
240,51,1,2539,9.0
241,51,1,21711,9.0
242,51,1,9423,26.0
243,51,1,18844,26.0
244,51,1,4832,9.0
245,51,1,2543,9.0
246,51,1,2548,9.0
247,51,1,21187,26.0
248,51,1,9368,26.0
249,51,1,9996,9.0
250,51,1,4817,9.0
251,51,1,9989,9.0
252,51,1,9997,9.0
253,51,1,4829,9.0
254,51,1,4828,9.0
255,51,1,21465,26.0
256,51,1,4816,9.0
257,51,1,4825,9.0
258,51,1,20775,26.0
259,51,1,9998,9.0
260,51,1,21164,26.0
261,51,1,16281,26.0
262,51,1,18477,26.0
263,51,0,4833,10.0
264,51,0,9545,26.0
265,51,0,9613,26.0
266,51,0,9589,26.0
267,51,0,9616,26.0
268,51,0,9618,26.0
269,51,0,9547,26.0
270,51,0,2652,10.0
271,51,0,10016,10.0
272,51,0,4838,10.0
273,51,0,22870,10.0
274,51,0,10026,10.0
275,51,0,10033,9.3
276,51,0,19877,10.0
277,51,0,10030,9.6
278,51,0,9596,26.0
279,51,0,10019,10.0
280,51,0,4840,10.0
281,51,0,19882,12.0
282,51,0,19879,26.0
283,51,0,9592,26.0
284,51,0,10029,9.7
285,51,0,9593,26.0
286,51,0,2657,10.0
287,51,0,4839,10.0
288,51,0,18473,10.0
289,51,0,2651,10.0
290,51,0,10022,10.0
291,51,0,2665,10.0
292,51,0,4842,10.0
293,51,0,10023,10.0
294,51,0,10018,10.0
295,51,0,20423,26.0
296,51,0,10028,9.8
297,51,0,16612,26.0
298,51,0,9588,26.0
299,51,0,10027,9.9
300,51,0,4853,10.0
301,51,0,10025,10.0
302,51,0,2663,10.0
303,51,0,10032,9.4
304,51,0,18472,10.0
305,51,0,4848,10.0
306,51,0,9541,26.0
307,51,0,4850,10.0
308,51,0,4841,10.0
309,51,0,9587,26.0
310,51,0,9590,26.0
311,51,0,4844,10.0
312,51,0,18465,10.0
313,51,0,10035,26.0
314,51,0,2666,10.0
315,51,0,10038,26.0
316,51,0,9537,9.2
317,51,0,2656,10.0
318,51,0,9594,26.0
319,51,0,9591,26.0
320,51,0,2654,10.0
321,51,0,9543,26.0
322,51,0,2661,10.0
323,51,0,2658,10.0
324,51,0,2667,10.0
325,51,0,21590,26.0
326,51,0,4847,10.0
327,51,0,18782,9.0
328,51,0,22767,26.0
329,51,0,20909,26.0
330,51,0,16611,26.0
331,51,0,2653,10.0
332,51,0,2649,10.0
333,51,0,15908,26.0
334,51,0,18471,10.0
335,51,0,16281,26.0
336,51,0,4852,10.0
337,14,1,1390,30.0
338,14,1,1353,30.0
339,14,1,1368,30.0
340,14,1,1395,30.0
341,14,1,1350,30.0
342,14,1,1398,30.0
343,14,1,1384,30.0
344,14,1,1379,30.0
345,14,1,20381,30.0
346,14,1,1335,30.0
347,14,1,1370,30.0
348,14,1,18283,30.0
349,14,1,1400,30.0
350,14,1,19883,30.0
351,14,1,20836,30.0
352,14,1,1383,30.0
353,14,1,1340,30.0
354,14,1,16051,30.0
355,14,1,1377,30.0
356,14,1,1357,30.0
357,14,1,1380,30.0
358,14,1,1344,30.0
359,14,1,18285,30.0
360,14,1,1387,30.0
361,14,1,1371,30.0
362,14,1,1342,30.0
363,14,1,1378,30.0
364,14,1,1343,30.0
365,14,1,1389,30.0
366,14,1,1392,30.0
367,14,1,20390,30.0
368,14,1,22626,30.0
369,14,1,1354,30.0
370,14,1,1349,30.0
371,14,1,1373,30.0
372,14,1,1385,30.0
373,14,1,1334,30.0
374,14,1,1366,30.0
375,14,1,18284,30.0
376,14,1,1376,30.0
377,14,1,1382,30.0
378,14,1,18288,30.0
379,14,1,1341,30.0
380,14,1,20832,30.0
381,14,1,1347,30.0
382,14,1,18281,30.0
383,14,1,18279,30.0
384,14,1,1338,30.0
385,14,1,1355,30.0
386,14,1,1361,30.0
387,14,1,1363,30.0
388,14,1,1381,30.0
389,14,1,1391,30.0
390,14,1,1386,30.0
391,14,1,1358,30.0
392,14,1,1388,30.0
393,14,1,1359,30.0
394,14,1,1365,30.0
395,14,1,1337,30.0
396,14,1,1364,30.0
397,14,1,1348,30.0
398,14,1,18286,30.0
399,14,1,1332,30.0
400,14,1,18287,30.0
401,14,1,18280,30.0
402,14,1,1346,30.0
403,14,1,1345,30.0
404,14,1,1397,30.0
405,14,1,1351,30.0
406,14,0,1439,30.0
407,14,0,1427,30.0
408,14,0,1453,30.0
409,14,0,1460,30.0
410,14,0,1441,30.0
411,14,0,1464,30.0
412,14,0,1466,30.0
413,14,0,1468,30.0
414,14,0,1480,30.0
415,14,0,1455,30.0
416,14,0,1469,30.0
417,14,0,1424,30.0
418,14,0,18294,30.0
419,14,0,1421,30.0
420,14,0,18296,30.0
421,14,0,1465,30.0
422,14,0,1433,30.0
423,14,0,19883,30.0
424,14,0,1425,30.0
425,14,0,1446,30.0
426,14,0,1462,30.0
427,14,0,1415,30.0
428,14,0,1447,30.0
429,14,0,1418,30.0
430,14,0,1452,30.0
431,14,0,16051,30.0
432,14,0,1430,30.0
433,14,0,1458,30.0
434,14,0,1419,30.0
435,14,0,1463,30.0
436,14,0,1487,30.0
437,14,0,1436,30.0
438,14,0,1457,30.0
439,14,0,20837,30.0
440,14,0,1474,30.0
441,14,0,1438,30.0
442,14,0,18292,30.0
443,14,0,1435,30.0
444,14,0,1483,30.0
445,14,0,1459,30.0
446,14,0,18298,30.0
447,14,0,22817,30.0
448,14,0,16086,30.0
449,14,0,1434,30.0
450,14,0,1478,30.0
451,14,0,1413,30.0
452,14,0,1472,30.0
453,14,0,1440,30.0
454,14,0,1456,30.0
455,14,0,1488,30.0
456,14,0,1476,30.0
457,14,0,1429,30.0
458,14,0,1416,30.0
459,14,0,18293,30.0
460,14,0,1414,30.0
461,14,0,18289,30.0
462,14,0,1431,30.0
463,14,0,1432,30.0
464,14,0,1449,30.0
465,14,0,18291,30.0
466,14,0,1473,30.0
467,14,0,1484,30.0
468,14,0,1489,30.0
469,14,0,1471,30.0
470,14,0,1479,30.0
471,14,0,1422,30.0
472,14,0,1477,30.0
473,14,0,1481,30.0
474,14,0,1475,30.0
475,14,0,16963,30.0
476,14,0,1444,30.0
477,P76,1,21038,30.0
478,P76,1,20999,30.0
479,P76,1,11126,30.0
480,P76,1,16122,30.0
481,P76,1,7429,30.0
482,P76,1,16118,30.0
483,P76,1,16119,30.0
484,P76,1,11134,30.0
485,P76,1,11129,30.0
486,P76,1,17170,30.0
487,P76,1,15735,30.0
488,P76,1,21037,30.0
489,P76,1,7789,30.0
490,P76,1,11130,30.0
491,P76,1,7430,30.0
492,P76,1,11179,30.0
493,P76,1,11138,30.0
494,P76,1,7791,30.0
495,P76,1,16014,30.0
496,P76,1,20684,30.0
497,P76,1,11147,30.0
498,P76,1,11140,30.0
499,P76,1,11141,30.0
500,P76,1,7875,30.0
501,P76,1,1407,30.0
502,P76,1,22739,30.0
503,P76,1,10700,30.0
504,P76,1,11145,30.0
505,P76,1,15733,30.0
506,P76,1,7431,30.0
507,P76,1,7874,30.0
508,P76,1,11128,30.0
509,P76,1,22663,30.0
510,P76,1,11127,30.0
511,P76,1,11135,30.0
512,P76,1,11137,30.0
513,P76,1,20219,30.0
514,P76,1,15734,30.0
515,P76,1,21610,30.0
516,P76,1,11142,30.0
517,P76,1,18508,30.0
518,P76,1,11139,30.0
519,P76,1,7786,30.0
520,P76,1,11152,30.0
521,P76,1,16120,30.0
522,P76,1,18510,30.0
523,P76,1,15732,30.0
524,P76,1,11143,30.0
525,P76,1,19476,30.0
526,P76,1,7787,30.0
527,P76,1,15287,30.0
528,P76,1,16121,30.0
529,P76,1,7432,30.0
530,P76,1,7785,30.0
531,P76,1,7788,30.0
532,P76,0,15284,120.0
533,P76,0,18544,120.0
534,P76,0,11177,120.0
535,P76,0,20502,120.0
536,P76,0,14023,120.0
537,P76,0,19484,120.0
538,P76,0,11167,120.0
539,P76,0,7814,120.0
540,P76,0,15736,120.0
541,P76,0,11175,120.0
542,P76,0,11171,120.0
543,P76,0,10593,120.0
544,P76,0,16109,120.0
545,P76,0,16111,120.0
546,P76,0,19482,120.0
547,P76,0,8153,120.0
548,P76,0,11169,120.0
549,P76,0,16110,120.0
550,P76,0,7815,120.0
551,P76,0,10518,120.0
552,P76,0,21611,120.0
553,P76,0,16107,120.0
554,P76,0,7812,120.0
555,P76,0,7816,120.0
556,P76,0,22663,120.0
557,P76,0,7811,120.0
558,P76,0,11154,120.0
559,P76,0,7351,120.0
560,P76,0,11178,120.0
561,P76,0,20222,120.0
562,P76,0,7808,120.0
563,P76,0,8778,120.0
564,P76,0,7813,120.0
565,P76,0,20846,120.0
566,P76,0,11166,120.0
567,P76,0,11172,120.0
568,P76,0,11163,120.0
569,P76,0,7353,120.0
570,P76,0,11165,120.0
571,P76,0,15285,120.0
572,P76,0,11180,120.0
573,P76,0,20221,120.0
574,P76,0,22296,120.0
575,P76,0,11161,120.0
576,P76,0,11176,120.0
577,P76,0,7352,120.0
578,P76,0,14022,120.0
579,P76,0,7810,120.0
580,P76,0,14024,120.0
581,P76,0,10748,120.0
582,P76,0,15851,120.0
583,P76,0,11168,120.0
584,P76,0,20287,120.0
585,48,1,17286,30.0
586,48,1,19656,30.0
587,48,1,4833,30.0
588,48,1,4823,30.0
589,48,1,15833,30.0
590,48,1,4783,30.0
591,48,1,4807,30.0
592,48,1,4824,30.0
593,48,1,2645,30.0
594,48,1,4786,30.0
595,48,1,20719,30.0
596,48,1,4771,30.0
597,48,1,2646,30.0
598,48,1,4777,30.0
599,48,1,21447,30.0
600,48,1,4804,30.0
601,48,1,4806,30.0
602,48,1,4826,30.0
603,48,1,4788,30.0
604,48,1,4765,30.0
605,48,1,4808,30.0
606,48,1,4802,30.0
607,48,1,4803,30.0
608,48,1,4814,30.0
609,48,1,4821,30.0
610,48,1,4776,30.0
611,48,1,4779,30.0
612,48,1,4811,30.0
613,48,1,11216,30.0
614,48,1,4812,30.0
615,48,1,21711,30.0
616,48,1,4774,30.0
617,48,1,4832,30.0
618,48,1,4773,30.0
619,48,1,4764,30.0
620,48,1,4781,30.0
621,48,1,4785,30.0
622,48,1,4817,30.0
623,48,1,4829,30.0
624,48,1,4815,30.0
625,48,1,4828,30.0
626,48,1,4816,30.0
627,48,1,4825,30.0
628,48,1,4767,30.0
629,48,1,4772,30.0
630,48,1,2647,30.0
631,48,1,4809,30.0
632,48,0,4833,30.0
633,48,0,19663,30.0
634,48,0,4838,30.0
635,48,0,22870,30.0
636,48,0,17749,30.0
637,48,0,19877,30.0
638,48,0,4859,30.0
639,48,0,4865,30.0
640,48,0,4890,30.0
641,48,0,4840,30.0
642,48,0,4870,30.0
643,48,0,4839,30.0
644,48,0,4867,30.0
645,48,0,4842,30.0
646,48,0,4875,30.0
647,48,0,4888,30.0
648,48,0,4853,30.0
649,48,0,19665,30.0
650,48,0,4884,30.0
651,48,0,19666,30.0
652,48,0,19370,30.0
653,48,0,4871,30.0
654,48,0,2553,30.0
655,48,0,4876,30.0
656,48,0,4848,30.0
657,48,0,4850,30.0
658,48,0,4841,30.0
659,48,0,4855,30.0
660,48,0,4844,30.0
661,48,0,18465,30.0
662,48,0,4861,30.0
663,48,0,4858,30.0
664,48,0,4868,30.0
665,48,0,2554,30.0
666,48,0,4847,30.0
667,48,0,4886,30.0
668,48,0,4764,30.0
669,48,0,19667,30.0
670,48,0,2555,30.0
671,48,0,4863,30.0
672,48,0,18632,30.0
673,48,0,4873,30.0
674,48,0,20785,30.0
675,48,0,2670,30.0
676,48,0,4877,30.0
677,48,0,4852,30.0
678,71A,1,3147,11.0
679,71A,1,2634,11.0
680,71A,1,18165,11.0
681,71A,1,3120,11.0
682,71A,1,2632,11.0
683,71A,1,36,11.0
684,71A,1,8197,11.0
685,71A,1,8184,11.0
686,71A,1,8176,11.0
687,71A,1,20761,11.0
688,71A,1,8191,11.0
689,71A,1,20856,11.0
690,71A,1,8181,11.0
691,71A,1,8193,11.0
692,71A,1,3119,11.0
693,71A,1,22747,11.0
694,71A,1,2644,11.0
695,71A,1,3150,11.0
696,71A,1,1171,11.0
697,71A,1,38,11.0
698,71A,1,8177,11.0
699,71A,1,8179,11.0
700,71A,1,8196,11.0
701,71A,1,18164,11.0
702,71A,1,3156,11.0
703,71A,1,18161,11.0
704,71A,1,1509,11.0
705,71A,1,8182,11.0
706,71A,1,22667,11.0
707,71A,1,8186,11.0
708,71A,1,2635,11.0
709,71A,1,3149,11.0
710,71A,1,20776,11.0
711,71A,1,8195,11.0
712,71A,1,3118,11.0
713,71A,1,8178,11.0
714,71A,1,3152,11.0
715,71A,1,8189,11.0
716,71A,1,3148,11.0
717,71A,1,8183,11.0
718,71A,1,1410,11.0
719,71A,1,8194,11.0
720,71A,1,3157,11.0
721,71A,1,22064,11.0
722,71A,1,8180,11.0
723,71A,1,8192,11.0
724,71A,1,9125,11.0
725,71A,1,2643,11.0
726,71A,1,8188,11.0
727,71A,1,35,11.0
728,71A,1,3155,11.0
729,71A,1,20855,11.0
730,71A,1,3158,11.0
731,71A,1,33,11.0
732,71A,1,2631,11.0
733,71A,1,3151,11.0
734,71A,1,34,11.0
735,71A,1,3154,11.0
736,71A,1,2639,11.0
737,71A,1,8190,11.0
738,71A,0,3254,15.0
739,71A,0,2574,15.0
740,71A,0,2572,15.0
741,71A,0,3282,15.0
742,71A,0,2571,15.0
743,71A,0,2558,15.0
744,71A,0,8219,15.0
745,71A,0,8207,15.0
746,71A,0,2562,15.0
747,71A,0,8215,15.0
748,71A,0,20977,15.0
749,71A,0,20856,15.0
750,71A,0,2575,15.0
751,71A,0,8214,15.0
752,71A,0,8208,15.0
753,71A,0,3242,15.0
754,71A,0,8210,15.0
755,71A,0,8202,15.0
756,71A,0,3253,15.0
757,71A,0,3246,15.0
758,71A,0,3241,15.0
759,71A,0,3252,15.0
760,71A,0,3250,15.0
761,71A,0,8211,15.0
762,71A,0,2557,15.0
763,71A,0,8204,15.0
764,71A,0,19850,15.0
765,71A,0,19011,15.0
766,71A,0,8205,15.0
767,71A,0,3245,15.0
768,71A,0,8212,15.0
769,71A,0,3118,15.0
770,71A,0,3281,15.0
771,71A,0,8209,15.0
772,71A,0,8203,15.0
773,71A,0,3251,15.0
774,71A,0,2565,15.0
775,71A,0,8221,15.0
776,71A,0,3247,15.0
777,71A,0,8198,15.0
778,71A,0,8218,15.0
779,71A,0,8213,15.0
780,71A,0,2564,15.0
781,71A,0,8201,15.0
782,71A,0,8220,15.0
783,71A,0,8222,15.0
784,71A,0,3280,15.0
785,71A,0,3249,15.0
786,71A,0,2556,15.0
787,71A,0,20293,15.0
788,71A,0,8216,15.0
789,71A,0,8206,15.0
790,71A,0,2566,15.0
791,71A,0,20976,15.0
792,71A,0,3248,15.0
793,71A,0,2561,15.0
794,71A,0,1664,15.0
795,71A,0,2567,15.0
796,71A,0,17671,15.0
797,71A,0,2573,15.0
798,71A,0,8199,15.0
799,61D,1,3147,15.0
800,61D,1,18165,15.0
801,61D,1,7097,15.0
802,61D,1,17824,15.0
803,61D,1,36,15.0
804,61D,1,7096,15.0
805,61D,1,7102,15.0
806,61D,1,7103,15.0
807,61D,1,2638,15.0
808,61D,1,4407,15.0
809,61D,1,20856,15.0
810,61D,1,22747,15.0
811,61D,1,10924,15.0
812,61D,1,10921,15.0
813,61D,1,15428,15.0
814,61D,1,3150,15.0
815,61D,1,2644,15.0
816,61D,1,10915,15.0
817,61D,1,38,15.0
818,61D,1,19375,15.0
819,61D,1,18164,15.0
820,61D,1,10914,15.0
821,61D,1,3156,15.0
822,61D,1,18161,15.0
823,61D,1,20285,15.0
824,61D,1,10919,15.0
825,61D,1,7098,15.0
826,61D,1,1509,15.0
827,61D,1,2639,15.0
828,61D,1,3149,15.0
829,61D,1,20776,15.0
830,61D,1,10918,15.0
831,61D,1,17647,15.0
832,61D,1,3152,15.0
833,61D,1,18179,15.0
834,61D,1,3148,15.0
835,61D,1,10923,15.0
836,61D,1,1410,15.0
837,61D,1,3157,15.0
838,61D,1,21318,15.0
839,61D,1,17737,15.0
840,61D,1,10922,15.0
841,61D,1,7100,15.0
842,61D,1,10913,15.0
843,61D,1,35,15.0
844,61D,1,4409,15.0
845,61D,1,3155,15.0
846,61D,1,3158,15.0
847,61D,1,20855,15.0
848,61D,1,33,15.0
849,61D,1,7101,15.0
850,61D,1,3151,15.0
851,61D,1,20969,15.0
852,61D,1,17740,15.0
853,61D,1,10916,15.0
854,61D,1,17744,15.0
855,61D,1,34,15.0
856,61D,1,19991,15.0
857,61D,1,3154,15.0
858,61D,1,2643,15.0
859,61D,1,15423,15.0
860,61D,1,10920,15.0
861,61D,0,15659,15.0
862,61D,0,20834,15.0
863,61D,0,20103,15.0
864,61D,0,10958,15.0
865,61D,0,17824,15.0
866,61D,0,20977,15.0
867,61D,0,7115,15.0
868,61D,0,20856,15.0
869,61D,0,27,15.0
870,61D,0,7119,15.0
871,61D,0,3242,15.0
872,61D,0,7113,15.0
873,61D,0,10959,15.0
874,61D,0,7121,15.0
875,61D,0,3241,15.0
876,61D,0,3246,15.0
877,61D,0,19994,15.0
878,61D,0,10950,15.0
879,61D,0,10951,15.0
880,61D,0,8526,15.0
881,61D,0,7112,15.0
882,61D,0,10952,15.0
883,61D,0,7126,15.0
884,61D,0,3245,15.0
885,61D,0,20959,15.0
886,61D,0,18156,15.0
887,61D,0,7117,15.0
